title,location,url,pre_word_count,compensation_label_signature,uses_real_headings,spacer_p_count,br_in_li_count,underline_count,bold_italic_count,section_label_count,casing_styles,flags
"Staff Software Engineer, Frontend","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/54654035-a78a-4e5b-9ebf-ae4067e5a246/?gh_jid=54654035-a78a-4e5b-9ebf-ae4067e5a246,350,strong|||colon-in|no-range,0,0,0,0,0,4,Sentence_case=3; Title_Case=1,mixes Title Case + sentence case section labels within the same posting
Staff Technical Recruiter,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/c3a4256a-4525-443c-81d0-6f69e7c24805/?gh_jid=c3a4256a-4525-443c-81d0-6f69e7c24805,430,strong|||colon-in|no-range,0,0,0,1,0,3,Sentence_case=3,uses <u> underline (1x)
Supply Chain Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/2d21f482-3224-4906-a1bb-6a64436774cb/?gh_jid=2d21f482-3224-4906-a1bb-6a64436774cb,229,strong|||colon-in|range,0,0,0,0,0,2,Sentence_case=2,uses 'Compensation Range:' instead of 'Compensation:'
Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/ae12de71-0010-49d3-b171-c0b257e3b6c1/?gh_jid=ae12de71-0010-49d3-b171-c0b257e3b6c1,366,strong|||colon-in|no-range,0,0,0,0,0,3,Sentence_case=3,
Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/cc83824e-a1cd-4bc7-9206-7264da9fbd61/?gh_jid=cc83824e-a1cd-4bc7-9206-7264da9fbd61,365,strong|||colon-in|no-range,0,0,0,0,0,3,Sentence_case=3,
Autonomy Engineer - Deep Learning Infrastructure,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/c051266c-3e00-4906-abd0-21f18db56b3f/?gh_jid=c051266c-3e00-4906-abd0-21f18db56b3f,448,strong|||colon-in|no-range,0,0,0,0,0,2,Sentence_case=2,
Autonomy Engineer - Deep Learning Model Acceleration,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/5892ea83-ad5a-480a-bd9f-2409bb0b644e/?gh_jid=5892ea83-ad5a-480a-bd9f-2409bb0b644e,449,strong|||colon-in|no-range,0,0,0,0,0,2,Sentence_case=2,
Autonomy Engineer - Deep Learning Model Acceleration,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/cd6d8410-419b-4713-8d4d-7eb72b134d5a/?gh_jid=cd6d8410-419b-4713-8d4d-7eb72b134d5a,449,strong|||colon-in|no-range,0,0,0,0,0,2,Sentence_case=2,
Autonomy Engineer - Fixed Wing Planning & Controls,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/20754382-05e7-4cb6-a0f9-0daf9338ba78/?gh_jid=20754382-05e7-4cb6-a0f9-0daf9338ba78,260,strong|||colon-in|no-range,0,0,0,0,0,3,Mixed=3,
Autonomy Software Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/a48fe41b-030b-4f11-bf25-df7446151854/?gh_jid=a48fe41b-030b-4f11-bf25-df7446151854,392,strong|||colon-in|no-range,0,0,0,0,0,2,Sentence_case=2,
Electrical Engineer (all levels),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/f0c26a3c-d999-4dc2-8812-b3835f633ded/?gh_jid=f0c26a3c-d999-4dc2-8812-b3835f633ded,244,strong|||colon-in|no-range,0,0,0,0,0,2,Sentence_case=2,
Electrical Engineer (Sustaining/Validation),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/8e50c7da-2868-4383-af1f-920584d537fc/?gh_jid=8e50c7da-2868-4383-af1f-920584d537fc,295,strong|||colon-in|no-range,0,0,0,0,0,2,Sentence_case=2,
Enterprise Account Manager (MoD/ MoI) – EMEA (Finland),"Tampere, Finland - Full-time",https://www.skydio.com/jobs/d6f731e8-c530-4123-8b52-0e7cab164887/?gh_jid=d6f731e8-c530-4123-8b52-0e7cab164887,602,strong|||colon-in|no-range,0,0,0,0,0,4,Mixed=4,
Enterprise Account Manager (MoD/ MoI) – EMEA (Germany),Germany - Full-time,https://www.skydio.com/jobs/12e9a494-9a89-457c-9dc7-2ef9ccdba17c/?gh_jid=12e9a494-9a89-457c-9dc7-2ef9ccdba17c,602,strong|||colon-in|no-range,0,0,0,0,0,4,Mixed=4,
Enterprise Account Manager (MoD/ MoI) – EMEA (Switzerland),"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/1d4977a2-c2e7-44ad-820b-253ff8355800/?gh_jid=1d4977a2-c2e7-44ad-820b-253ff8355800,602,strong|||colon-in|no-range,0,0,0,0,0,4,Mixed=4,
"Enterprise Account Manager,  US Navy, US Marine Corps, and IC/SOCOM",US Remote - Full-time,https://www.skydio.com/jobs/e69362bc-5891-486e-be75-6bf25187ccf5/?gh_jid=e69362bc-5891-486e-be75-6bf25187ccf5,508,strong|||colon-in|no-range,0,0,0,0,0,3,Mixed=3,
"Enterprise Account Manager, US Army",US Remote - Full-time,https://www.skydio.com/jobs/19559b4c-ed09-41eb-b1aa-f000a855b8fe/?gh_jid=19559b4c-ed09-41eb-b1aa-f000a855b8fe,474,strong|||colon-in|no-range,0,0,0,0,0,3,Mixed=3,
Field Support Representative,US Remote - Full-time,https://www.skydio.com/jobs/b053b0e2-005c-4e77-95f3-26c7354e6095/?gh_jid=b053b0e2-005c-4e77-95f3-26c7354e6095,513,strong|||colon-in|no-range,0,0,0,0,0,4,Sentence_case=4,
Mission Success Operations Manager,US Remote - Full-time,https://www.skydio.com/jobs/501a3067-e906-4354-b211-ac70db6accf4/?gh_jid=501a3067-e906-4354-b211-ac70db6accf4,452,strong|||colon-in|no-range,0,0,0,0,0,4,Mixed=1; Sentence_case=3,
PCB Layout Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/eb2f4124-9bd6-49f9-9636-03152c573f7d/?gh_jid=eb2f4124-9bd6-49f9-9636-03152c573f7d,346,strong|||colon-in|no-range,0,0,0,0,0,2,Sentence_case=2,
Product Design Engineer (All Levels),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/3f02ead1-8efe-4e3f-9c75-625e74ab57d1/?gh_jid=3f02ead1-8efe-4e3f-9c75-625e74ab57d1,448,strong|||colon-in|no-range,0,0,0,0,0,3,Sentence_case=3,
RF Design Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/f72f1fa5-d3d6-459e-8722-a94ce92ad1c8/?gh_jid=f72f1fa5-d3d6-459e-8722-a94ce92ad1c8,391,strong|||colon-in|no-range,0,0,0,0,0,3,Mixed=3,
Senior Autonomy Engineer - Controls,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/58b4cdf6-5630-4dd0-aab3-a1ed4d599466/?gh_jid=58b4cdf6-5630-4dd0-aab3-a1ed4d599466,245,strong|||colon-in|no-range,0,0,0,0,0,3,Mixed=3,
Senior Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/a6973c57-132a-4a0d-b130-02d2bdaecd2a/?gh_jid=a6973c57-132a-4a0d-b130-02d2bdaecd2a,314,strong|||colon-in|no-range,0,0,0,0,0,3,Sentence_case=3,
Senior Hardware Test and Reliability Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/c0e49670-51ca-461c-b0e2-4a06df01f692/?gh_jid=c0e49670-51ca-461c-b0e2-4a06df01f692,539,strong|||colon-in|no-range,0,0,0,0,0,3,Sentence_case=3,
Senior Software Engineer - Embedded,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/67a7d89f-9c4e-4f60-bdf1-a60b8addd8ae/?gh_jid=67a7d89f-9c4e-4f60-bdf1-a60b8addd8ae,353,strong|||colon-in|no-range,0,0,0,0,0,4,Sentence_case=4,
Senior Software Engineer - Security,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/bcd3d614-178c-4349-afd4-76476211b7fe/?gh_jid=bcd3d614-178c-4349-afd4-76476211b7fe,418,strong|||colon-in|no-range,0,0,0,0,0,4,Mixed=1; Sentence_case=3,
"Senior Software Engineer,  Infrastructure","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/0f71bdbb-a645-49f6-8890-dd5c052772c3/?gh_jid=0f71bdbb-a645-49f6-8890-dd5c052772c3,400,strong|||colon-in|no-range,0,0,0,0,0,5,Sentence_case=5,
Senior Wireless Systems Performance Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/f1ecf164-714c-4f1a-b672-d763f5724c03/?gh_jid=f1ecf164-714c-4f1a-b672-d763f5724c03,385,strong|||colon-in|no-range,0,0,0,0,0,3,Sentence_case=3,
Software Engineer - Embedded,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/ef9f7dd2-5a88-49b4-a507-d5fc9cad565a/?gh_jid=ef9f7dd2-5a88-49b4-a507-d5fc9cad565a,353,strong|||colon-in|no-range,0,0,0,0,0,4,Sentence_case=4,
Software Engineer - Infrastructure,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/cb958101-ede8-4f50-bf30-b3272d33f25f/?gh_jid=cb958101-ede8-4f50-bf30-b3272d33f25f,398,strong|||colon-in|no-range,0,0,0,0,0,5,Sentence_case=5,
Staff Software Engineer - Embedded,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/b3b2dea9-63bb-4adb-ba29-69bd8f7a18eb/?gh_jid=b3b2dea9-63bb-4adb-ba29-69bd8f7a18eb,353,strong|||colon-in|no-range,0,0,0,0,0,4,Sentence_case=4,
"Staff Software Engineer, Full Stack","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/379b23ea-14ff-4602-9b79-52d00bb96fda/?gh_jid=379b23ea-14ff-4602-9b79-52d00bb96fda,613,strong|||colon-in|no-range,0,0,0,0,0,3,Sentence_case=3,
Systems Integration and Test Engineer (Mid to Senior Level),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/a1a60b27-53a8-455e-b467-712e01c532dc/?gh_jid=a1a60b27-53a8-455e-b467-712e01c532dc,509,strong|||colon-in|no-range,0,0,0,0,0,3,Sentence_case=3,
Wireless Software Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/04fde92b-6a2b-4638-adc2-e8fa91cc1a49/?gh_jid=04fde92b-6a2b-4638-adc2-e8fa91cc1a49,400,strong|||colon-in|no-range,0,0,0,0,0,3,Sentence_case=3,
